"Table 1: ARD and SHR law enforcement homicides, by match outcome, 2003–09 and 2011",,,,,,,,,,,,,,,,,,,,,
,, ,,,Probability match score,,,,,,,,,,,,Certainty match,,,Total,
,,No match,,,0.01 – 0.25,,,0.26 – 0.50,,,0.51 – 0.75,,,0.76 – 0.99,,,,,,,
ARD program data collection year,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%
,All LE homicides,"3,643.90",68.4,,221,4.2,,190.1,3.6,,150.8,2.8,,6.8,0.1,,"1,111.90",20.9,,"5,324.50",100
2003,,424.6,71.3,,23.6,4,,19.3,3.2,,15.2,2.5,,0.1,0,,112.6,18.9,,595.3,100
2004,,416.7,70.6,,18.9,3.2,,19.4,3.3,,11.8,2,,0.6,0.1,,123.1,20.8,,590.4,100
2005,,456.7,75.6,,19.8,3.3,,16.8,2.8,,14.8,2.5,,1.8,0.3,,94.4,15.6,,604.3,100
2006,,469.8,70.9,,22.7,3.4,,27,4.1,,24.4,3.7,,0.1,0,,118.4,17.9,,662.4,100
2007,,450.1,66.2,,25.2,3.7,,23.2,3.4,,21.1,3.1,,1.5,0.2,,158.9,23.4,,680,100
2008,,482.6,73.4,,37.1,5.6,,21.1,3.2,,18.5,2.8,,0,0,,98,14.9,,657.3,100
2009,,443.4,62.7,,30.1,4.3,,27.7,3.9,,17.2,2.4,,1.2,0.2,,187.1,26.5,,706.7,100
2011,,500.1,60.4,,43.6,5.3,,35.7,4.3,,27.8,3.4,,1.5,0.2,,219.4,26.5,,828,100
Note: The 'AVG N' represents the mean count across all replicates.,,,,,,,,,,,,,,,,,,,,,
