Bureau of Justice Statistics,,,,,,
Filename: ardpdqpf2.1.csv,,,,,,
"Figure 2.1. Overlap in sources used to identify deaths and to complete CJ-11A incident reports, 2011",,,,,,
Report Title: Arrest-Related Deaths Program Data Quality Profile,,,,,,
Data Source(s): Arrest-Related Death Program,,,,,,
Author(s): Michael Planty and Andrea M. Burch,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,
Date of version: 3/3/2015,,,,,,
,,,,,,
Same source used to identify deaths and  complete CJ-11A reports,,,,,,11
Different sources used to identify deaths and to complete CJ-11A reports,,,,,,17
Identification source and additional sources used to complete CJ-11A reports,,,,,,17
Missing,,,,,,2
Note: Four states did not report data in 2011.,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program, 2011.",,,,,,
