Bureau of Justice Statistics,,,,,,,
Filename: ardpdqpt2.2.csv,,,,,,,
"Table 2-2. Number of state reporting coordinators, by state, Statistical Analysis Center (SAC) status, and type of reporting office, 2011",,,,,,,
Report Title: Arrest-Related Deaths Program Data Quality Profile,,,,,,,
Data Source(s): Arrest-Related Death Program,,,,,,,
Author(s): Michael Planty and Andrea M. Burch,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,
Date of version: 3/3/2015,,,,,,,
,,,,,,,
,,,,,,,
,,,Located in SACs ,,,Not located in SACs,
Type of reporting office,,Total ,Number,State,,Number,State
,Number of all reporting offices,47,32,,,15,
State criminal justice agency,,16,14,"AL, AZ, CT, DE, IL, IA, KS, KY, MT, NE, NY, RI, VA, WV",,2,"PA, VT"
Department of public safety/law enforcement,,14,9,"CO, FL, MO, NJ, OH, ",,5,"DC, HI, MI, MN, WA"
University,,4,4,"OK, SC, SD, TN",,0,
Attorney general’s office,,4,2,"AK, MS, NV, NM",,2,"ND, TX"
Governor’s office,,3,3,"CA, NH",,0,
State department of correction,,3,0,"MD, MA, UT",,3,"ID, IN, LA"
Office of the chief medical examiner,,2,0,,,2,"ME, NC"
Office of public health,,1,0,,,1,OR
Note: Four states did not report data in 2011.,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program, 2011.",,,,,,,
