"_","ST","StateFIPS","Population","Deaths","U_C_Rate","_"
"","","","","","",""
"2004-2010, United States","","","","","",""
"Death Rates per 100,000 Population","","","","","",""
"All Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages","","","","","",""
"Annualized Crude Rate for United States: 58.92","","","","","",""
"","","","","","",""
"","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  States with these rates are cross-hatched in the map (see legend above). Such rates have an asterisk.","","","","","",""
"","","","","","",""
"m1195543 created 16JAN15:14:30     downloaded 17JUL15:23:30","","","","","",""
"","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","",""
"","","","","","",""
"","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","ST","StateFIPS","Population","Deaths","U_C_Rate",""
"","AL","1","32658235","24842","76.06657249",""
"","AK","2","4778415","3821","79.96375367",""
"","AZ","4","42703836","32689","76.54815834",""
"","AR","5","19888509","15275","76.80314296",""
"","CA","6","254493554","121179","47.61574433",""
"","CO","8","33622313","22047","65.5725262",""
"","CT","9","24729263","12250","49.53645404",""
"","DE","10","6080508","3425","56.32753053",""
"","DC","11","4054162","2834","69.90347204",""
"","FL","12","127773447","89232","69.83610609",""
"","GA","13","65014317","39201","60.29594989",""
"","HI","15","9230935","4612","49.96243609",""
"","ID","16","10450158","6712","64.22869396",""
"","IL","17","88913945","43917","49.39270212",""
"","IN","18","44591824","26974","60.49090972",""
"","IA","19","20995904","11653","55.50130159",""
"","KS","20","19520286","12207","62.53494442",""
"","KY","21","29751073","23237","78.104746",""
"","LA","22","31267718","25297","80.90452907",""
"","ME","23","9271594","5509","59.41804613",""
"","MD","24","39608994","21999","55.5404159",""
"","MA","25","45191423","19750","43.7029832",""
"","MI","26","69875937","40033","57.29153943",""
"","MN","27","36410215","19315","53.04829977",""
"","MS","28","20502158","17381","84.77644158",""
"","MO","29","41142288","29564","71.85793848",""
"","MT","30","6737321","5828","86.50322584",""
"","NE","31","12502402","6768","54.13359769",""
"","NV","32","17940941","12685","70.70420665",""
"","NH","33","9158020","4771","52.09641385",""
"","NJ","34","60884685","24085","39.55838812",""
"","NM","35","13894932","13050","93.91913541",""
"","NY","36","134438747","51850","38.56775011",""
"","NC","37","63588364","41858","65.82650876",""
"","ND","38","4588166","2825","61.57144271",""
"","OH","39","80478043","46994","58.39356705",""
"","OK","40","25440168","20810","81.79977428",""
"","OR","41","25984387","16623","63.97303119",""
"","PA","42","87916980","55112","62.68641166",""
"","RI","44","7424122","4063","54.72701014",""
"","SC","45","31027260","22503","72.52654601",""
"","SD","46","5540916","3849","69.46504874",""
"","TN","47","43065894","33475","77.72972274",""
"","TX","48","166620070","92905","55.75858899",""
"","UT","49","18132887","10742","59.24042873",""
"","VT","50","4362217","2814","64.50848273",""
"","VA","51","54237862","28522","52.5868811",""
"","WA","53","45222487","26614","58.85125248",""
"","WV","54","12839973","10771","83.88646923",""
"","WI","55","39245868","24146","61.52494831",""
"","WY","56","3750326","3054","81.43292076",""
