"Table 4: ARD law enforcement homicides, by matching variable and match outcome, 2003–09 and 2011",,,,,,,,,,,,,,,,,,,,,
 Matching variable,,,,,Probability match,,,,,,,,,,,,,,,,
,,No match,,,0.01 – 0.25,,,0.26 – 0.50,,,0.51 – 0.75,,,0.76 – 0.99,,,Certainty match,,,Total,
,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%,,AVG N,%
All LE homicides,,"1,939.50",53.6,,221,6.1,,190.1,5.3,,150.8,4.2,,6.8,0.2,,"1,111.90",30.7,,"3,620.00",100
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,"1,865.70",53.5,,220.4,6.3,,189.7,5.4,,143.9,4.1,,6,0.2,,"1,063.40",30.5,,"3,489.00",100
,Female,73.8,56.3,,0.6,0.5,,0.4,0.3,,6.9,5.3,,0.8,0.6,,48.5,37.1,,131,100
Age,,,,,,,,,,,,,,,,,,,,,
,17 or younger,57.5,53.8,,10.7,10,,5.4,5,,2.8,2.7,,0,0,,30.5,28.5,,107,100
,18–24,427.7,51.4,,52.4,6.3,,52.4,6.3,,39.9,4.8,,1.1,0.1,,258.5,31.1,,832,100
,25–34,555,51.4,,69.4,6.4,,64.7,6,,46,4.3,,0.9,0.1,,344.1,31.9,,"1,080.00",100
,35–44,426.7,53.6,,41.6,5.2,,35.5,4.5,,37.3,4.7,,2.2,0.3,,252.7,31.7,,796,100
,45–54,297.3,58.2,,30,5.9,,21.1,4.1,,14.6,2.9,,0.8,0.2,,147.1,28.8,,511,100
,55 or older,143.1,57.5,,12.3,4.9,,8,3.2,,6.7,2.7,,0,0,,79,31.7,,249,100
,Unknown,32.2,71.5,,4.5,10.1,,3,6.7,,3.5,7.8,,1.7,3.8,,0,0,,45,100
Race/ Hispanic origin,,,,,,,,,,,,,,,,,,,,,
,"White, non-Hispanic",926.6,61.2,,27.9,1.8,,47.4,3.1,,36.5,2.4,,3.2,0.2,,472.5,31.2,,"1,514.00",100
,"Black, non-Hispanic",550.8,48.3,,77,6.8,,70.5,6.2,,36.2,3.2,,2.2,0.2,,404.2,35.4,,"1,141.00",100
,"Hispanic, any race",322.9,44.6,,89.1,12.3,,56.1,7.7,,54.9,7.6,,1.4,0.2,,199.7,27.6,,724,100
,Other,45.8,47.8,,4.8,5,,4.9,5.1,,4.9,5.2,,0,0,,35.5,37,,96,100
,Unknown,93.2,64.3,,22.2,15.3,,11.2,7.7,,18.3,12.6,,0,0,,0,0,,145,100
Note: The 'AVG N' represents the mean count across all replicates.,,,,,,,,,,,,,,,,,,,,,
