Bureau of Justice Statistics,,,,,,,,,,
Filename: ardpdqpt2.1.csv,,,,,,,,,,
"Table 2-1. States or jurisdictions that did not report to the Arrest-Related Deaths Program, 2003–11",,,,,,,,,,
Report Title: Arrest-Related Deaths Program Data Quality Profile,,,,,,,,,,
Data Source(s): Arrest-Related Death Program,,,,,,,,,,
Author(s): Michael Planty and Andrea M. Burch,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,,,
Date of version: 3/3/2015,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
State or jurisdiction,,2003,2004,2005,2006,2007,2008,2009,2010,2011
,Total reporting ,44,46,46,44,47,43,42,47,47
Arkansas,,/,X,X,X,X,/,/,/,/
District of Columbia,,X,X,X,X,X,/,/,X,X
Georgia,,/,/,/,/,/,/,/,/,/
Louisiana,,/,X,X,X,X,X,X,X,X
Maryland,,/,/,/,/,/,/,/,X,X
Mississippi,,/,X,X,X,X,X,X,X,X
Montana,,/,/,/,/,/,/,/,X,X
Nebraska,,X,X,X,X,X,X,/,X,X
Nevada,,X,/,/,/,/,X,X,X,X
New Mexico,,X,X,X,X,X,/,/,X,X
North Carolina,,X,X,X,/,X,X,X,X,X
Oklahoma,,X,X,X,/,X,X,X,X,X
Tennessee,,/,X,X,X,X,X,X,X,X
Wisconsin,,X,X,X,X,X,/,/,/,/
Wyoming,,X,/,/,/,/,/,/,/,/
Note: States not listed reported to the ARD program in each year from 2003 through 2011.,,,,,,,,,,
X Reported. ,,,,,,,,,,
/ Not reported. ,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program, 2011.",,,,,,,,,,
