Bureau of Justice Statistics,,,,,,,,
Filename: ardpdqpt2.5.csv,,,,,,,,
"Table 2-5. Primary information source for identifying arrest-related deaths, by location of state reporting coordinator office, 2011",,,,,,,,
Report Title: Arrest-Related Deaths Program Data Quality Profile,,,,,,,,
Data Source(s): Arrest-Related Death Program,,,,,,,,
Author(s): Michael Planty and Andrea M. Burch,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,
Date of version: 3/3/2015,,,,,,,,
,,,,,,,,
Location of office,,All offices,Open source search,Direct reporting by law enforcement,Data request to medical examiner or coroner,National Violent Death Reporting System,Investigative reports,Uniform Crime Reports
,Total,45,26,8,5,3,2,1
State criminal justice agency,,14,10,2,0,1,0,1
Dept. of public safety/law enforcement,,14,7,3,3,0,1,0
University,,4,3,1,0,0,0,0
Attorney general's office,,4,1,2,0,0,1,0
Governor's office,,3,1,0,1,1,0,0
Department of correction,,3,3,0,0,0,0,0
Medical examiner's office,,2,1,0,1,0,0,0
Office of public health,,1,0,0,0,1,0,0
Note: The primary source for identifying arrest-related deaths was unknown in two states. Four states did not report data in 2011.,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program, 2011.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,, ,,,,,
