Metro Area Geography,2014 Population,Number of People Below Poverty Level,Percentage of People Below Poverty Level,"Crime Rate Per Every 100,000 Inhabitants",Mortality Rates,Family Sizes,HS Droupout Rate,Region,Total Population Change,Natural Increase,Births,Deaths,Total,International [2],Domestic,,,,,,,
"NewYork-Newark-JerseyCity,NY-NJ-PAMetroArea",20092883,2933561,14.60%,406,728.35,66.10%,14.70%,Northeast,"90,797","105,022","251,368","146,346","-16,011","146,892","-162,903",,,,,,,
"LosAngeles-LongBeach-Anaheim,CAMetroArea",13262220,2334151,17.60%,393,619.32,68.00%,21.40%,West,"86,371","87,827","169,963","82,136","4,523","65,972","-61,449",,,,,,,
"Chicago-Naperville-Elgin,IL-IN-WIMetroArea",9554598,1375862,14.40%,0,733.25,65.70%,12.80%,Midwest,"9,802","49,346","119,405","70,059","-38,405","27,410","-65,815",,,,,,,
"Dallas-FortWorth-Arlington,TXMetroArea",6954330,1043150,15.00%,344.7,591.73,69.40%,15.60%,South,"131,217","55,875","97,026","41,151","74,176","24,773","49,403",,,,,,,
"Houston-TheWoodlands-SugarLand,TXMetroArea",6490180,1064390,16.40%,561.5,571.57,70.80%,18.00%,South,"156,371","57,776","94,872","37,096","98,133","32,283","65,850",,,,,,,
"Philadelphia-Camden-Wilmington,PA-NJ-DE-MDMetroArea",6051170,816908,13.50%,532.3,895.35,64.00%,10.50%,Northeast,"14,942","18,038","72,217","54,179","-1,168","19,564","-20,732",,,,,,,
"Washington-Arlington-Alexandria,DC-VA-MD-WVMetroArea",6033737,512868,8.50%,334.6,566.48,66.40%,9.50%,South,"66,561","47,150","81,330","34,180","18,329","43,070","-24,741",,,,,,,
"Miami-FortLauderdale-WestPalmBeach,FLMetroArea",5929819,1049578,17.70%,596.7,830.11,65.10%,15.30%,South,"66,361","16,719","65,943","49,224","49,729","62,255","-12,526",,,,,,,
"Atlanta-SandySprings-Roswell,GAMetroArea",5614323,892677,15.90%,400.9,624.17,67.30%,11.80%,South,"88,891","36,681","71,724","35,043","51,110","18,816","32,294",,,,,,,
"Boston-Cambridge-Newton,MA-NHMetroArea",4732161,492145,10.40%,374.7,753.5,63.60%,8.80%,Northeast,"34,112","16,825","52,482","35,657","18,878","29,134","-10,256",,,,,,,
"SanFrancisco-Oakland-Hayward,CAMetroArea",4594060,528317,11.50%,508.3,664.51,66.70%,14.50%,West,"64,406","22,373","52,901","30,528","43,208","28,616","14,592",,,,,,,
